strategy,seed,regime_band,N_days,PctShort,PctFlat,PctLong,MeanNetPnL
Full IQN,7,Low,419,28.162291169451077,12.410501193317423,59.427207637231504,-5.7219023029940526e-05
Full IQN,7,Mid,415,30.843373493975907,13.734939759036143,55.42168674698795,-0.0006176659357179919
Full IQN,7,High,417,45.563549160671464,18.465227817745802,35.97122302158273,-0.0002414479455956987
Full IQN,42,Low,419,31.5035799522673,18.138424821002385,50.35799522673031,-0.0008795029318419159
Full IQN,42,Mid,415,33.734939759036145,19.27710843373494,46.98795180722892,4.079613792479218e-05
Full IQN,42,High,417,40.04796163069545,26.378896882494008,33.573141486810556,-0.00014895273707018323
Full IQN,123,Low,419,25.29832935560859,9.069212410501192,65.63245823389022,-0.0002482877354485595
Full IQN,123,Mid,415,38.55421686746988,10.120481927710843,51.325301204819276,-9.416281425152025e-05
Full IQN,123,High,417,37.88968824940048,16.06714628297362,46.043165467625904,-0.000328986560144111
Full IQN,999,Low,419,45.82338902147971,17.18377088305489,36.9928400954654,-0.0010526797132869542
Full IQN,999,Mid,415,44.81927710843374,18.795180722891565,36.385542168674704,-0.0005623373091802284
Full IQN,999,High,417,47.00239808153477,20.14388489208633,32.853717026378895,-0.0007480915268370553
Full IQN,2024,Low,419,27.44630071599045,23.389021479713605,49.16467780429594,-8.27810296201227e-05
Full IQN,2024,Mid,415,29.87951807228916,20.240963855421686,49.87951807228916,-0.0007005837124239043
Full IQN,2024,High,417,32.853717026378895,13.189448441247004,53.956834532374096,-0.00012004176399524727
No Explicit Regime IQN,42,Low,419,43.43675417661098,18.377088305489263,38.18615751789976,6.746554788755173e-05
No Explicit Regime IQN,42,Mid,415,36.86746987951807,21.686746987951807,41.445783132530124,-0.00013123467554805972
No Explicit Regime IQN,42,High,417,40.04796163069545,22.781774580335732,37.170263788968825,-1.0569291378461335e-05
No Explicit Regime IQN,123,Low,419,34.36754176610978,20.763723150357997,44.868735083532215,0.0001569427359807179
No Explicit Regime IQN,123,Mid,415,44.57831325301205,18.072289156626507,37.34939759036144,-0.0010471808222748292
No Explicit Regime IQN,123,High,417,43.884892086330936,18.94484412470024,37.170263788968825,0.00012578137585052298
No Explicit Regime IQN,2024,Low,419,42.959427207637226,11.217183770883054,45.82338902147971,-0.0014205622310345827
No Explicit Regime IQN,2024,Mid,415,48.91566265060241,9.879518072289157,41.204819277108435,-0.0010480117913361183
No Explicit Regime IQN,2024,High,417,42.92565947242206,8.393285371702639,48.6810551558753,-0.0005982603110849471
Parameter-Matched Double DQN,7,Low,419,27.44630071599045,27.44630071599045,45.10739856801909,-0.0005362162454958558
Parameter-Matched Double DQN,7,Mid,415,29.63855421686747,25.060240963855424,45.30120481927711,0.00024174849446527077
Parameter-Matched Double DQN,7,High,417,35.25179856115108,19.664268585131893,45.08393285371702,-0.0004374580613213649
Parameter-Matched Double DQN,42,Low,419,37.94749403341289,18.377088305489263,43.67541766109785,0.0007299692003149211
Parameter-Matched Double DQN,42,Mid,415,44.33734939759036,9.156626506024097,46.50602409638554,-0.00027550666326570024
Parameter-Matched Double DQN,42,High,417,39.08872901678657,22.062350119904075,38.84892086330935,-8.213571884869532e-05
Parameter-Matched Double DQN,123,Low,419,23.15035799522673,20.763723150357997,56.085918854415276,-0.0007264880324314204
Parameter-Matched Double DQN,123,Mid,415,32.04819277108434,17.83132530120482,50.12048192771085,-0.0005294695613062623
Parameter-Matched Double DQN,123,High,417,37.410071942446045,19.664268585131893,42.92565947242206,0.000177470796519651
Parameter-Matched Double DQN,999,Low,419,31.5035799522673,31.742243436754176,36.754176610978526,-0.0008123261556728431
Parameter-Matched Double DQN,999,Mid,415,35.903614457831324,29.156626506024097,34.93975903614458,-0.00017258686633407746
Parameter-Matched Double DQN,999,High,417,33.573141486810556,22.062350119904075,44.36450839328538,-6.454669349580863e-05
Parameter-Matched Double DQN,2024,Low,419,24.3436754176611,36.754176610978526,38.902147971360385,0.0006753486152978881
Parameter-Matched Double DQN,2024,Mid,415,24.096385542168676,34.69879518072289,41.204819277108435,-0.000342235245208499
Parameter-Matched Double DQN,2024,High,417,34.05275779376499,30.455635491606714,35.4916067146283,0.00028962665579969414
w/o Regime-in-Reward,42,Low,419,43.198090692124104,7.398568019093078,49.40334128878281,-0.0016322737902418451
w/o Regime-in-Reward,42,Mid,415,45.78313253012048,5.783132530120482,48.433734939759034,-0.0011061150580002582
w/o Regime-in-Reward,42,High,417,57.31414868105516,6.71462829736211,35.97122302158273,0.00032015066443600925
w/o Regime-in-Reward,123,Low,419,34.36754176610978,8.83054892601432,56.801909307875896,-0.0014529002442017721
w/o Regime-in-Reward,123,Mid,415,41.204819277108435,15.180722891566264,43.6144578313253,0.00035094538774128176
w/o Regime-in-Reward,123,High,417,36.69064748201439,16.30695443645084,47.00239808153477,0.000532081626624816
w/o Regime-in-Reward,2024,Low,419,34.12887828162291,14.797136038186157,51.07398568019092,0.00016723302753557658
w/o Regime-in-Reward,2024,Mid,415,37.34939759036144,10.843373493975903,51.80722891566265,-0.00020452657635591627
w/o Regime-in-Reward,2024,High,417,44.60431654676259,5.995203836930456,49.40047961630695,-0.00028733230039343946
w/o Regime-in-State,42,Low,419,48.6873508353222,21.479713603818613,29.832935560859188,-0.0005885588389450603
w/o Regime-in-State,42,Mid,415,40.24096385542168,20.481927710843372,39.277108433734945,-0.0005293716034965888
w/o Regime-in-State,42,High,417,47.00239808153477,20.623501199040767,32.37410071942446,0.00035419565525011417
w/o Regime-in-State,123,Low,419,35.56085918854415,16.94510739856802,47.49403341288782,1.6159361263815716e-05
w/o Regime-in-State,123,Mid,415,40.963855421686745,13.975903614457833,45.06024096385542,-0.0006219514912554944
w/o Regime-in-State,123,High,417,38.84892086330935,23.980815347721823,37.170263788968825,-0.00014740789707560941
w/o Regime-in-State,2024,Low,419,42.720763723150355,15.990453460620524,41.288782816229116,-0.0005777555041192518
w/o Regime-in-State,2024,Mid,415,38.795180722891565,18.072289156626507,43.132530120481924,-0.00012557415980810974
w/o Regime-in-State,2024,High,417,41.007194244604314,15.587529976019185,43.4052757793765,-0.00012199798814569011
