component,TrainMean,TestMean,MeanDifference,StandardisedMeanDifference,TrainMedian,TestMedian,KSStatistic,KSPValue,WassersteinDistance
RegimeEGScore,0.6589379289197564,0.29363171785910813,-0.3653062110606483,-0.5237960967138094,0.3912170846249756,0.0801474927261223,0.385502132138616,1.1675986547388685e-125,0.3653062110606484
RegimeHLScore,0.07983258897210539,0.05051891321158294,-0.029313675760522455,-0.9387570440496419,0.07333745057563952,0.04902094914874987,0.42453848645147363,2.4362679748497854e-153,0.029375000015100496
RegimeCVScore,0.7625953787176757,0.6083128939398018,-0.15428248477787387,-2.134052248439218,0.7639530549600134,0.5962706090655654,0.7103091600993199,1.413e-321,0.15428248477787382
RegimeStabilityScore,0.35946449135620373,0.162840022753382,-0.19662446860282173,-1.795630567275157,0.3452117629264568,0.1603759309480393,0.7270120371369967,1.275e-321,0.19662446860282176
