test_year,train_end,TrainingMeanSpreadReturn,ChosenPosition,ChosenDirection,TestGrossPnL,TestCost,TestNetPnL
2021,2019,-7.441983933443951e-07,-1,Short,0.07741845076765305,0.004044302942425258,0.07337414782522783
2022,2020,-5.9623584437804545e-06,-1,Short,-0.024283783863954994,0.003065708157735908,-0.027349492021690902
2023,2021,-1.988547071840051e-05,-1,Short,0.11677381945831883,0.0024177053152873128,0.11435611414303148
2024,2022,-1.362987933410383e-05,-1,Short,0.13410862472783316,0.0026319324519136567,0.13147669227591952
2025,2023,-4.054468326021662e-05,-1,Short,-0.049055682507402186,0.0025855989187511604,-0.051641281426153346
