Period,N,Mean,Std,Skewness,ExcessKurtosis,Min,P01,P05,P95,P99,Max,LowerTailMean5Pct,UpperTailMean5Pct,JarqueBera,JarqueBeraP
Training through 2019,3908,-7.44198393344388e-07,0.010636343996329529,0.1461673133951648,56.096505455199285,-0.1795272467472769,-0.02460574253549529,-0.013841404301317483,0.013593497721697568,0.024509361446996003,0.1817574602730139,-0.022969392694145486,0.023083065132242286,511082.8858219266,0.0
Formal OOS evaluation dates 2021-2025,1251,-0.00020380609798756823,0.01297915863325268,-0.9180554959617914,9.747236661440958,-0.1146851571418571,-0.035100906998460815,-0.01960255158919931,0.019027012333171008,0.03321128229215684,0.06144081812618659,-0.031398653223369745,0.027600832149409855,5083.319545166445,0.0
2021,252,-0.00024972732414069935,0.01607567677567454,-0.7320511751240059,7.517301748617015,-0.09974470243073832,-0.041757391239205535,-0.02526935373376479,0.020718856390387685,0.04804719195055422,0.06144081812618659,-0.03957229933300822,0.03434859615326096,588.7449990820356,1.431026991269573e-128
2022,251,9.632896205042603e-05,0.017352590513389922,-1.3724789156335446,8.351297870789756,-0.1146851571418571,-0.05145431000206331,-0.025860359937319603,0.02462248023764764,0.04142035571717677,0.04749571460233144,-0.043963368424892395,0.03483356555477169,774.5856579912471,6.322101826598066e-169
2023,250,-0.000542559606090073,0.010649173068464196,0.17579473193505749,0.6028678540129517,-0.03180559232523428,-0.023844171258387295,-0.018610369400679186,0.017108815741575783,0.025063143030006563,0.03830533631739482,-0.022297346212489726,0.022978845988722282,4.620756677874056,0.09922370426649194
2024,252,-0.0005580186009952403,0.0093829549693395,-0.3454924489075843,1.8462935242570158,-0.04050919439422564,-0.02643664167019684,-0.012605644409350948,0.013714770949204865,0.02126553397717205,0.0266049388201434,-0.022143063875838146,0.018373636766813854,38.452146336591035,4.46912512794013e-09
2025,251,0.0001829664526625697,0.009074247195589037,0.08208580852451197,1.1345195871697342,-0.03294171361131307,-0.02042685461635184,-0.012827257278025845,0.01663131075777602,0.02281147360425086,0.0282658357349539,-0.018985370045487122,0.020914410353454982,12.663867221613064,0.0017785913385809419
