strategy,N_seeds,ActionLegCost_Mean,HedgeRebalanceCost_Mean,ForcedCloseCost_Mean,TotalCost_Mean,DirectReversal_Mean,Open_Mean,Close_Mean,HoldSame_Mean,ActionLegCostPct,HedgeRebalanceCostPct,ForcedCloseCostPct
Full IQN,5,0.22490000000000002,0.12972245171122238,0.003196031406161566,0.35781848311738396,127.4,99.6,95.4,928.6,62.85309748133401,36.25370343674123,0.8931990819247572
No Explicit Regime IQN,3,0.26766666666666666,0.15721366825659566,0.003589004892811106,0.42846933981607344,181.33333333333334,88.66666666666667,84.0,897.0,62.47043645679908,36.69192953784788,0.8376340053530406
Parameter-Matched Double DQN,5,0.24100000000000002,0.13390249965120787,0.0033486492581677927,0.37825114890937567,131.2,112.0,107.6,900.2,63.714281025948885,35.40042113217461,0.8852978418765063
w/o Regime-in-Reward,3,0.2285,0.13154967853058236,0.0033511842903866875,0.36340086282096906,155.0,75.66666666666667,71.33333333333333,949.0,62.87822164928967,36.199605446559126,0.9221729041512106
w/o Regime-in-State,3,0.2743333333333334,0.15466746891939523,0.003069947394883498,0.4320707496476121,155.66666666666666,120.66666666666667,116.66666666666667,858.0,63.4926880741346,35.79679231828093,0.7105196075844714
