test_year,train_end,feature_a,feature_b,spearman_rho,N_train
2022,2020-12-31,ZScore20,SpreadReturn,0.433740008094839,4028
2022,2020-12-31,ZScore20,RollStd20,0.04583076516115832,4028
2022,2020-12-31,ZScore20,DeltaBeta5d,0.006802840550654772,4028
2022,2020-12-31,ZScore20,VolS_roll20,0.03760058861044028,4028
2022,2020-12-31,ZScore20,VolSM_roll20,0.047539819609405044,4028
2022,2020-12-31,ZScore20,RegimeEGScore,-0.051915746264914374,4028
2022,2020-12-31,ZScore20,RegimeHLScore,-0.07508356803827082,4028
2022,2020-12-31,ZScore20,RegimeCVScore,-0.003715906472720483,4028
2022,2020-12-31,SpreadReturn,ZScore20,0.433740008094839,4028
2022,2020-12-31,SpreadReturn,SpreadReturn,1.0,4028
2022,2020-12-31,SpreadReturn,RollStd20,0.0014214047188940175,4028
2022,2020-12-31,SpreadReturn,DeltaBeta5d,-0.0006915031823217462,4028
2022,2020-12-31,SpreadReturn,VolS_roll20,0.008495870450205995,4028
2022,2020-12-31,SpreadReturn,VolSM_roll20,0.026853047961807285,4028
2022,2020-12-31,SpreadReturn,RegimeEGScore,-0.027126835524226393,4028
2022,2020-12-31,SpreadReturn,RegimeHLScore,-0.04799737934300746,4028
2022,2020-12-31,SpreadReturn,RegimeCVScore,-0.019810882354398294,4028
2022,2020-12-31,RollStd20,ZScore20,0.04583076516115832,4028
2022,2020-12-31,RollStd20,SpreadReturn,0.0014214047188940175,4028
2022,2020-12-31,RollStd20,RollStd20,1.0,4028
2022,2020-12-31,RollStd20,DeltaBeta5d,0.01440850456860588,4028
2022,2020-12-31,RollStd20,VolS_roll20,-0.08982497180644512,4028
2022,2020-12-31,RollStd20,VolSM_roll20,-0.13104651761481934,4028
2022,2020-12-31,RollStd20,RegimeEGScore,-0.11174015860755247,4028
2022,2020-12-31,RollStd20,RegimeHLScore,-0.007588255280083457,4028
2022,2020-12-31,RollStd20,RegimeCVScore,-0.12671755786780245,4028
2022,2020-12-31,DeltaBeta5d,ZScore20,0.006802840550654772,4028
2022,2020-12-31,DeltaBeta5d,SpreadReturn,-0.0006915031823217462,4028
2022,2020-12-31,DeltaBeta5d,RollStd20,0.01440850456860588,4028
2022,2020-12-31,DeltaBeta5d,DeltaBeta5d,1.0,4028
2022,2020-12-31,DeltaBeta5d,VolS_roll20,-0.041074125748427066,4028
2022,2020-12-31,DeltaBeta5d,VolSM_roll20,-0.07573556761661987,4028
2022,2020-12-31,DeltaBeta5d,RegimeEGScore,-0.06623572301931886,4028
2022,2020-12-31,DeltaBeta5d,RegimeHLScore,-0.024488901600775843,4028
2022,2020-12-31,DeltaBeta5d,RegimeCVScore,0.05170423732059553,4028
2022,2020-12-31,VolS_roll20,ZScore20,0.03760058861044028,4028
2022,2020-12-31,VolS_roll20,SpreadReturn,0.008495870450205995,4028
2022,2020-12-31,VolS_roll20,RollStd20,-0.08982497180644512,4028
2022,2020-12-31,VolS_roll20,DeltaBeta5d,-0.041074125748427066,4028
2022,2020-12-31,VolS_roll20,VolS_roll20,1.0,4028
2022,2020-12-31,VolS_roll20,VolSM_roll20,0.6485924770124237,4028
2022,2020-12-31,VolS_roll20,RegimeEGScore,-0.08922331268515155,4028
2022,2020-12-31,VolS_roll20,RegimeHLScore,-0.1477599438360106,4028
2022,2020-12-31,VolS_roll20,RegimeCVScore,-0.13447231611076566,4028
2022,2020-12-31,VolSM_roll20,ZScore20,0.047539819609405044,4028
2022,2020-12-31,VolSM_roll20,SpreadReturn,0.026853047961807285,4028
2022,2020-12-31,VolSM_roll20,RollStd20,-0.13104651761481934,4028
2022,2020-12-31,VolSM_roll20,DeltaBeta5d,-0.07573556761661987,4028
2022,2020-12-31,VolSM_roll20,VolS_roll20,0.6485924770124237,4028
2022,2020-12-31,VolSM_roll20,VolSM_roll20,1.0,4028
2022,2020-12-31,VolSM_roll20,RegimeEGScore,-0.13633158547616647,4028
2022,2020-12-31,VolSM_roll20,RegimeHLScore,-0.20431163052351886,4028
2022,2020-12-31,VolSM_roll20,RegimeCVScore,-0.19466284701652392,4028
2022,2020-12-31,RegimeEGScore,ZScore20,-0.051915746264914374,4028
2022,2020-12-31,RegimeEGScore,SpreadReturn,-0.027126835524226393,4028
2022,2020-12-31,RegimeEGScore,RollStd20,-0.11174015860755247,4028
2022,2020-12-31,RegimeEGScore,DeltaBeta5d,-0.06623572301931886,4028
2022,2020-12-31,RegimeEGScore,VolS_roll20,-0.08922331268515155,4028
2022,2020-12-31,RegimeEGScore,VolSM_roll20,-0.13633158547616647,4028
2022,2020-12-31,RegimeEGScore,RegimeEGScore,1.0,4028
2022,2020-12-31,RegimeEGScore,RegimeHLScore,0.8157016158040877,4028
2022,2020-12-31,RegimeEGScore,RegimeCVScore,0.22860714765350798,4028
2022,2020-12-31,RegimeHLScore,ZScore20,-0.07508356803827082,4028
2022,2020-12-31,RegimeHLScore,SpreadReturn,-0.04799737934300746,4028
2022,2020-12-31,RegimeHLScore,RollStd20,-0.007588255280083457,4028
2022,2020-12-31,RegimeHLScore,DeltaBeta5d,-0.024488901600775843,4028
2022,2020-12-31,RegimeHLScore,VolS_roll20,-0.1477599438360106,4028
2022,2020-12-31,RegimeHLScore,VolSM_roll20,-0.20431163052351886,4028
2022,2020-12-31,RegimeHLScore,RegimeEGScore,0.8157016158040877,4028
2022,2020-12-31,RegimeHLScore,RegimeHLScore,1.0,4028
2022,2020-12-31,RegimeHLScore,RegimeCVScore,0.3226828722775082,4028
2022,2020-12-31,RegimeCVScore,ZScore20,-0.003715906472720483,4028
2022,2020-12-31,RegimeCVScore,SpreadReturn,-0.019810882354398294,4028
2022,2020-12-31,RegimeCVScore,RollStd20,-0.12671755786780245,4028
2022,2020-12-31,RegimeCVScore,DeltaBeta5d,0.05170423732059553,4028
2022,2020-12-31,RegimeCVScore,VolS_roll20,-0.13447231611076566,4028
2022,2020-12-31,RegimeCVScore,VolSM_roll20,-0.19466284701652392,4028
2022,2020-12-31,RegimeCVScore,RegimeEGScore,0.22860714765350798,4028
2022,2020-12-31,RegimeCVScore,RegimeHLScore,0.3226828722775082,4028
2022,2020-12-31,RegimeCVScore,RegimeCVScore,1.0,4028
2023,2021-12-31,ZScore20,ZScore20,1.0,4280
2023,2021-12-31,ZScore20,SpreadReturn,0.4332552170315666,4280
2023,2021-12-31,ZScore20,RollStd20,0.034425004511818916,4280
2023,2021-12-31,ZScore20,DeltaBeta5d,0.011285411464913388,4280
2023,2021-12-31,ZScore20,VolS_roll20,0.04041271040398369,4280
2023,2021-12-31,ZScore20,VolSM_roll20,0.03694223826903262,4280
2023,2021-12-31,ZScore20,RegimeEGScore,-0.05515591794203186,4280
2023,2021-12-31,ZScore20,RegimeHLScore,-0.07275871332148127,4280
2023,2021-12-31,ZScore20,RegimeCVScore,-0.012055839306759504,4280
2023,2021-12-31,SpreadReturn,ZScore20,0.4332552170315666,4280
2023,2021-12-31,SpreadReturn,SpreadReturn,1.0,4280
2023,2021-12-31,SpreadReturn,RollStd20,-0.005062606956489813,4280
2023,2021-12-31,SpreadReturn,DeltaBeta5d,0.004021315746968873,4280
2023,2021-12-31,SpreadReturn,VolS_roll20,0.0068686342732049025,4280
2023,2021-12-31,SpreadReturn,VolSM_roll20,0.027073806323157486,4280
2023,2021-12-31,SpreadReturn,RegimeEGScore,-0.029547200313049235,4280
2023,2021-12-31,SpreadReturn,RegimeHLScore,-0.043908255449070684,4280
2023,2021-12-31,SpreadReturn,RegimeCVScore,-0.021338893714277673,4280
2023,2021-12-31,RollStd20,ZScore20,0.034425004511818916,4280
2023,2021-12-31,RollStd20,SpreadReturn,-0.005062606956489813,4280
2023,2021-12-31,RollStd20,RollStd20,1.0,4280
2023,2021-12-31,RollStd20,DeltaBeta5d,0.01720347869461124,4280
2023,2021-12-31,RollStd20,VolS_roll20,-0.09191286561586536,4280
2023,2021-12-31,RollStd20,VolSM_roll20,-0.11093064195557649,4280
2023,2021-12-31,RollStd20,RegimeEGScore,-0.15182185550902463,4280
2023,2021-12-31,RollStd20,RegimeHLScore,-0.07487252873963077,4280
2023,2021-12-31,RollStd20,RegimeCVScore,-0.17726193924990546,4280
2023,2021-12-31,DeltaBeta5d,ZScore20,0.011285411464913388,4280
2023,2021-12-31,DeltaBeta5d,SpreadReturn,0.004021315746968873,4280
2023,2021-12-31,DeltaBeta5d,RollStd20,0.01720347869461124,4280
2023,2021-12-31,DeltaBeta5d,DeltaBeta5d,1.0,4280
2023,2021-12-31,DeltaBeta5d,VolS_roll20,-0.05145462407803296,4280
2023,2021-12-31,DeltaBeta5d,VolSM_roll20,-0.09049483822078384,4280
2023,2021-12-31,DeltaBeta5d,RegimeEGScore,-0.09631379429289519,4280
2023,2021-12-31,DeltaBeta5d,RegimeHLScore,-0.06315142263705424,4280
2023,2021-12-31,DeltaBeta5d,RegimeCVScore,0.00913312069367215,4280
2023,2021-12-31,VolS_roll20,ZScore20,0.04041271040398369,4280
2023,2021-12-31,VolS_roll20,SpreadReturn,0.0068686342732049025,4280
2023,2021-12-31,VolS_roll20,RollStd20,-0.09191286561586536,4280
2023,2021-12-31,VolS_roll20,DeltaBeta5d,-0.05145462407803296,4280
2023,2021-12-31,VolS_roll20,VolS_roll20,1.0,4280
2023,2021-12-31,VolS_roll20,VolSM_roll20,0.6480286090560154,4280
2023,2021-12-31,VolS_roll20,RegimeEGScore,-0.08302279563226587,4280
2023,2021-12-31,VolS_roll20,RegimeHLScore,-0.13969612196875109,4280
2023,2021-12-31,VolS_roll20,RegimeCVScore,-0.13346521849743803,4280
2023,2021-12-31,VolSM_roll20,ZScore20,0.03694223826903262,4280
2023,2021-12-31,VolSM_roll20,SpreadReturn,0.027073806323157486,4280
2023,2021-12-31,VolSM_roll20,RollStd20,-0.11093064195557649,4280
2023,2021-12-31,VolSM_roll20,DeltaBeta5d,-0.09049483822078384,4280
2023,2021-12-31,VolSM_roll20,VolS_roll20,0.6480286090560154,4280
2023,2021-12-31,VolSM_roll20,VolSM_roll20,1.0,4280
2023,2021-12-31,VolSM_roll20,RegimeEGScore,-0.14084424528723216,4280
2023,2021-12-31,VolSM_roll20,RegimeHLScore,-0.20395782440189703,4280
2023,2021-12-31,VolSM_roll20,RegimeCVScore,-0.19987890840193942,4280
2023,2021-12-31,RegimeEGScore,ZScore20,-0.05515591794203186,4280
2023,2021-12-31,RegimeEGScore,SpreadReturn,-0.029547200313049235,4280
2023,2021-12-31,RegimeEGScore,RollStd20,-0.15182185550902463,4280
2023,2021-12-31,RegimeEGScore,DeltaBeta5d,-0.09631379429289519,4280
2023,2021-12-31,RegimeEGScore,VolS_roll20,-0.08302279563226587,4280
2023,2021-12-31,RegimeEGScore,VolSM_roll20,-0.14084424528723216,4280
2023,2021-12-31,RegimeEGScore,RegimeEGScore,1.0,4280
2023,2021-12-31,RegimeEGScore,RegimeHLScore,0.8320141735532132,4280
2023,2021-12-31,RegimeEGScore,RegimeCVScore,0.30245330382574354,4280
2023,2021-12-31,RegimeHLScore,ZScore20,-0.07275871332148127,4280
2023,2021-12-31,RegimeHLScore,SpreadReturn,-0.043908255449070684,4280
2023,2021-12-31,RegimeHLScore,RollStd20,-0.07487252873963077,4280
2023,2021-12-31,RegimeHLScore,DeltaBeta5d,-0.06315142263705424,4280
2023,2021-12-31,RegimeHLScore,VolS_roll20,-0.13969612196875109,4280
2023,2021-12-31,RegimeHLScore,VolSM_roll20,-0.20395782440189703,4280
2023,2021-12-31,RegimeHLScore,RegimeEGScore,0.8320141735532132,4280
2023,2021-12-31,RegimeHLScore,RegimeHLScore,1.0,4280
2023,2021-12-31,RegimeHLScore,RegimeCVScore,0.4097329753230628,4280
2023,2021-12-31,RegimeCVScore,ZScore20,-0.012055839306759504,4280
2023,2021-12-31,RegimeCVScore,SpreadReturn,-0.021338893714277673,4280
2023,2021-12-31,RegimeCVScore,RollStd20,-0.17726193924990546,4280
2023,2021-12-31,RegimeCVScore,DeltaBeta5d,0.00913312069367215,4280
2023,2021-12-31,RegimeCVScore,VolS_roll20,-0.13346521849743803,4280
2023,2021-12-31,RegimeCVScore,VolSM_roll20,-0.19987890840193942,4280
2023,2021-12-31,RegimeCVScore,RegimeEGScore,0.30245330382574354,4280
2023,2021-12-31,RegimeCVScore,RegimeHLScore,0.4097329753230628,4280
2023,2021-12-31,RegimeCVScore,RegimeCVScore,1.0,4280
2024,2022-12-31,ZScore20,ZScore20,1.0,4531
2024,2022-12-31,ZScore20,SpreadReturn,0.432368528539813,4531
2024,2022-12-31,ZScore20,RollStd20,0.03672574588644987,4531
2024,2022-12-31,ZScore20,DeltaBeta5d,0.034522393827300414,4531
2024,2022-12-31,ZScore20,VolS_roll20,0.04248408802631152,4531
2024,2022-12-31,ZScore20,VolSM_roll20,0.04472756538109901,4531
2024,2022-12-31,ZScore20,RegimeEGScore,-0.04922801920710013,4531
2024,2022-12-31,ZScore20,RegimeHLScore,-0.06844536419700564,4531
2024,2022-12-31,ZScore20,RegimeCVScore,-0.028127712083681,4531
2024,2022-12-31,SpreadReturn,ZScore20,0.432368528539813,4531
2024,2022-12-31,SpreadReturn,SpreadReturn,1.0,4531
2024,2022-12-31,SpreadReturn,RollStd20,0.00012812188784020324,4531
2024,2022-12-31,SpreadReturn,DeltaBeta5d,0.01379168053689946,4531
2024,2022-12-31,SpreadReturn,VolS_roll20,0.007931893325216785,4531
2024,2022-12-31,SpreadReturn,VolSM_roll20,0.029048776975589257,4531
2024,2022-12-31,SpreadReturn,RegimeEGScore,-0.031318159337989315,4531
2024,2022-12-31,SpreadReturn,RegimeHLScore,-0.04616798827476412,4531
2024,2022-12-31,SpreadReturn,RegimeCVScore,-0.028458351887287573,4531
2024,2022-12-31,RollStd20,ZScore20,0.03672574588644987,4531
2024,2022-12-31,RollStd20,SpreadReturn,0.00012812188784020324,4531
2024,2022-12-31,RollStd20,RollStd20,1.0,4531
2024,2022-12-31,RollStd20,DeltaBeta5d,0.021254588369385378,4531
2024,2022-12-31,RollStd20,VolS_roll20,-0.09547238874792424,4531
2024,2022-12-31,RollStd20,VolSM_roll20,-0.09828408970751684,4531
2024,2022-12-31,RollStd20,RegimeEGScore,-0.20746454889967733,4531
2024,2022-12-31,RollStd20,RegimeHLScore,-0.12917364707961382,4531
2024,2022-12-31,RollStd20,RegimeCVScore,-0.24802250021290742,4531
2024,2022-12-31,DeltaBeta5d,ZScore20,0.034522393827300414,4531
2024,2022-12-31,DeltaBeta5d,SpreadReturn,0.01379168053689946,4531
2024,2022-12-31,DeltaBeta5d,RollStd20,0.021254588369385378,4531
2024,2022-12-31,DeltaBeta5d,DeltaBeta5d,1.0,4531
2024,2022-12-31,DeltaBeta5d,VolS_roll20,-0.023073849286670313,4531
2024,2022-12-31,DeltaBeta5d,VolSM_roll20,-0.06222005874549584,4531
2024,2022-12-31,DeltaBeta5d,RegimeEGScore,-0.0889667259230536,4531
2024,2022-12-31,DeltaBeta5d,RegimeHLScore,-0.05959111213832972,4531
2024,2022-12-31,DeltaBeta5d,RegimeCVScore,-0.020861690541542636,4531
2024,2022-12-31,VolS_roll20,ZScore20,0.04248408802631152,4531
2024,2022-12-31,VolS_roll20,SpreadReturn,0.007931893325216785,4531
2024,2022-12-31,VolS_roll20,RollStd20,-0.09547238874792424,4531
2024,2022-12-31,VolS_roll20,DeltaBeta5d,-0.023073849286670313,4531
2024,2022-12-31,VolS_roll20,VolS_roll20,1.0,4531
2024,2022-12-31,VolS_roll20,VolSM_roll20,0.6439211828827716,4531
2024,2022-12-31,VolS_roll20,RegimeEGScore,-0.06743094401734412,4531
2024,2022-12-31,VolS_roll20,RegimeHLScore,-0.12276637790074792,4531
2024,2022-12-31,VolS_roll20,RegimeCVScore,-0.12455091766711025,4531
2024,2022-12-31,VolSM_roll20,ZScore20,0.04472756538109901,4531
2024,2022-12-31,VolSM_roll20,SpreadReturn,0.029048776975589257,4531
2024,2022-12-31,VolSM_roll20,RollStd20,-0.09828408970751684,4531
2024,2022-12-31,VolSM_roll20,DeltaBeta5d,-0.06222005874549584,4531
2024,2022-12-31,VolSM_roll20,VolS_roll20,0.6439211828827716,4531
2024,2022-12-31,VolSM_roll20,VolSM_roll20,1.0,4531
2024,2022-12-31,VolSM_roll20,RegimeEGScore,-0.13443080491221937,4531
2024,2022-12-31,VolSM_roll20,RegimeHLScore,-0.19419924102035388,4531
2024,2022-12-31,VolSM_roll20,RegimeCVScore,-0.1935305906972439,4531
2024,2022-12-31,RegimeEGScore,ZScore20,-0.04922801920710013,4531
2024,2022-12-31,RegimeEGScore,SpreadReturn,-0.031318159337989315,4531
2024,2022-12-31,RegimeEGScore,RollStd20,-0.20746454889967733,4531
2024,2022-12-31,RegimeEGScore,DeltaBeta5d,-0.0889667259230536,4531
2024,2022-12-31,RegimeEGScore,VolS_roll20,-0.06743094401734412,4531
2024,2022-12-31,RegimeEGScore,VolSM_roll20,-0.13443080491221937,4531
2024,2022-12-31,RegimeEGScore,RegimeEGScore,1.0,4531
2024,2022-12-31,RegimeEGScore,RegimeHLScore,0.8402468480849192,4531
2024,2022-12-31,RegimeEGScore,RegimeCVScore,0.3428103588639258,4531
2024,2022-12-31,RegimeHLScore,ZScore20,-0.06844536419700564,4531
2024,2022-12-31,RegimeHLScore,SpreadReturn,-0.04616798827476412,4531
2024,2022-12-31,RegimeHLScore,RollStd20,-0.12917364707961382,4531
2024,2022-12-31,RegimeHLScore,DeltaBeta5d,-0.05959111213832972,4531
2024,2022-12-31,RegimeHLScore,VolS_roll20,-0.12276637790074792,4531
2024,2022-12-31,RegimeHLScore,VolSM_roll20,-0.19419924102035388,4531
2024,2022-12-31,RegimeHLScore,RegimeEGScore,0.8402468480849192,4531
2024,2022-12-31,RegimeHLScore,RegimeHLScore,1.0,4531
2024,2022-12-31,RegimeHLScore,RegimeCVScore,0.44337531672215313,4531
2024,2022-12-31,RegimeCVScore,ZScore20,-0.028127712083681,4531
2024,2022-12-31,RegimeCVScore,SpreadReturn,-0.028458351887287573,4531
2024,2022-12-31,RegimeCVScore,RollStd20,-0.24802250021290742,4531
