strategy,N_seeds,CumReturn_Mean,CumReturn_SD,CumReturn_SeedCI_L,CumReturn_SeedCI_U,AnnReturn_Mean,AnnReturn_SD,AnnReturn_SeedCI_L,AnnReturn_SeedCI_U,AnnVol_Mean,AnnVol_SD,AnnVol_SeedCI_L,AnnVol_SeedCI_U,Sharpe_Mean,Sharpe_SD,Sharpe_SeedCI_L,Sharpe_SeedCI_U,Sortino_Mean,Sortino_SD,Sortino_SeedCI_L,Sortino_SeedCI_U,MaxDrawdown_Mean,MaxDrawdown_SD,MaxDrawdown_SeedCI_L,MaxDrawdown_SeedCI_U,Calmar_Mean,Calmar_SD,Calmar_SeedCI_L,Calmar_SeedCI_U,PctPositive_Mean,PctPositive_SD,PctPositive_SeedCI_L,PctPositive_SeedCI_U,NPositionChanges_Mean,NPositionChanges_SD,NPositionChanges_SeedCI_L,NPositionChanges_SeedCI_U
Full IQN,5,-0.48737299999999995,0.2833591903918064,-0.8392099052696719,-0.13553609473032802,-0.09817580000000001,0.05707973432576574,-0.16904965113933895,-0.027301948860661077,0.1901414,0.004719078967340979,0.1842818895415721,0.19600091045842788,-0.5166200000000001,0.2982371740745946,-0.8869303619744532,-0.14630963802554697,-0.72258,0.42541019851432804,-1.2507965279639577,-0.19436347203604243,-0.8051352000000002,0.20065827321643134,-1.0542853537945776,-0.5559850462054228,-0.11888000000000001,0.04298717250529511,-0.17225562448439966,-0.06550437551560037,40.01800000000001,2.851301457229664,36.477641632532006,43.55835836746801,320.6,22.412050330123748,292.77176397915457,348.4282360208455
No Explicit Regime IQN,3,-0.5421956666666666,0.6544129371706624,-2.1678475229496086,1.083456189616275,-0.109219,0.13182429622417863,-0.43668870557542877,0.21825070557542875,0.18462900000000002,0.00869565655945541,0.1630277916122277,0.20623020838777234,-0.5921333333333334,0.7024559938767221,-2.337130758567558,1.152864091900891,-0.7770333333333334,0.8963093290451312,-3.003589139007979,1.4495224723413127,-0.8435203333333333,0.47678652823809253,-2.0279237285840925,0.340883061917426,-0.09583333333333334,0.08985712733742013,-0.3190508120217702,0.12738414535510356,39.54333333333333,1.7714777258925194,35.14273870891801,43.94392795774865,352.3333333333333,37.43438704364389,259.3411607619596,445.32550590470703
Parameter-Matched Double DQN,5,-0.15536139999999998,0.33981587353344755,-0.5772985361846452,0.2665757361846452,-0.0312956,0.06845203908065851,-0.11629003253009076,0.05369883253009076,0.17171379999999997,0.015533660119237841,0.15242621346960875,0.1910013865303912,-0.1735,0.4075122206756504,-0.6794932532410227,0.33249325324102275,-0.22949999999999998,0.5680693487594627,-0.9348512588376829,0.4758512588376829,-0.5672422,0.20124885322580102,-0.8171256557302706,-0.31735874426972943,-0.01942,0.12892956216477275,-0.17950719564417247,0.1406671956441725,37.744,4.307642046410079,32.39535595382382,43.09264404617618,351.0,31.843366656181317,311.46123804141746,390.53876195858254
w/o Regime-in-Reward,3,-0.46177599999999996,0.4772930294305585,-1.6474376139640106,0.7238856139640106,-0.09301966666666667,0.09614525092969144,-0.33185771030681166,0.14581837697347833,0.19812933333333335,0.003851300083521586,0.1885621735565902,0.2076964931100765,-0.4640666666666667,0.47207304872586553,-1.6367611297075402,0.7086277963742069,-0.6154999999999999,0.616241356937361,-2.146328394308294,0.9153283943082944,-0.8112563333333332,0.30272575368034566,-1.5632687943687213,-0.059243872297945255,-0.09823333333333334,0.07190558624566894,-0.2768567118117154,0.08039004514504872,43.93666666666667,0.2993882651897612,43.19294498665327,44.68038834668006,300.3333333333333,8.082903768654761,280.25428726116917,320.41237940549746
w/o Regime-in-State,3,-0.32549,0.01719854842712024,-0.3682135627351737,-0.2827664372648263,-0.06556666666666666,0.0034644331907735426,-0.07417279580570674,-0.05696053752762658,0.19171966666666665,0.0022514718149098147,0.18612670062430622,0.19731263270902707,-0.34190000000000004,0.014984325143295577,-0.37912312717358926,-0.3046768728264108,-0.4868333333333334,0.026038689163115244,-0.5515170230479727,-0.42214964361869417,-0.5800643333333334,0.17990111021706715,-1.0269634656093025,-0.1331652010573643,-0.11906666666666667,0.03010271305602426,-0.19384595139513555,-0.044287381938197784,39.65,0.634980314655503,38.07262145414517,41.227378545854826,392.0,11.357816691600547,363.7856192332477,420.2143807667523
