strategy,seed,CostMultiplier,LambdaCost,CumNetPnL,Sharpe,MaxDrawdown
Parameter-Matched Double DQN,123,1.5,0.00075,-0.6449675998432864,-0.7381,-0.896754
Parameter-Matched Double DQN,123,2.0,0.001,-0.8398121683044197,-0.9587,-1.072099
Parameter-Matched Double DQN,999,0.0,0.0,-0.028381805163099946,-0.0334,-0.444193
Parameter-Matched Double DQN,999,0.25,0.000125,-0.1310123988581492,-0.154,-0.518882
Parameter-Matched Double DQN,999,0.5,0.00025,-0.23364299255319843,-0.2744,-0.593572
Parameter-Matched Double DQN,999,0.75,0.000375,-0.33627358624824766,-0.3947,-0.672451
Parameter-Matched Double DQN,999,1.0,0.0005,-0.4389041799432969,-0.5148,-0.756005
Parameter-Matched Double DQN,999,1.5,0.00075,-0.6441653673333955,-0.7539,-0.923112
Parameter-Matched Double DQN,999,2.0,0.001,-0.8494265547234938,-0.9914,-1.094478
Parameter-Matched Double DQN,2024,0.0,0.0,0.6199060078591853,0.8463,-0.214163
Parameter-Matched Double DQN,2024,0.25,0.000125,0.530358945523583,0.7239,-0.25041
Parameter-Matched Double DQN,2024,0.5,0.00025,0.440811883187981,0.6014,-0.286658
Parameter-Matched Double DQN,2024,0.75,0.000375,0.3512648208523788,0.479,-0.322905
Parameter-Matched Double DQN,2024,1.0,0.0005,0.2617177585167768,0.3566,-0.359153
Parameter-Matched Double DQN,2024,1.5,0.00075,0.08262363384557248,0.1124,-0.440693
Parameter-Matched Double DQN,2024,2.0,0.001,-0.09647049082563164,-0.1308,-0.533883
w/o Regime-in-Reward,42,0.0,0.0,-0.612129731146368,-0.609,-0.795485
w/o Regime-in-Reward,42,0.25,0.000125,-0.7114617083876775,-0.7081,-0.873723
w/o Regime-in-Reward,42,0.5,0.00025,-0.8107936856289871,-0.8072,-0.95629
w/o Regime-in-Reward,42,0.75,0.000375,-0.9101256628702967,-0.9063,-1.038858
w/o Regime-in-Reward,42,1.0,0.0005,-1.0094576401116062,-1.0053,-1.122979
w/o Regime-in-Reward,42,1.5,0.00075,-1.2081215945942252,-1.2028,-1.305669
w/o Regime-in-Reward,42,2.0,0.001,-1.4067855490768442,-1.3993,-1.488359
w/o Regime-in-Reward,123,0.0,0.0,0.12122091087679526,0.1255,-0.687142
w/o Regime-in-Reward,123,0.25,0.000125,0.030604476131259217,0.0317,-0.713451
w/o Regime-in-Reward,123,0.5,0.00025,-0.06001195861427694,-0.0621,-0.73976
w/o Regime-in-Reward,123,0.75,0.000375,-0.1506283933598127,-0.1559,-0.76607
w/o Regime-in-Reward,123,1.0,0.0005,-0.24124482810534897,-0.2496,-0.792379
w/o Regime-in-Reward,123,1.5,0.00075,-0.4224776975964213,-0.4367,-0.867923
w/o Regime-in-Reward,123,2.0,0.001,-0.6037105670874934,-0.6231,-0.977489
w/o Regime-in-Reward,2024,0.0,0.0,0.19578348060113054,0.2001,-0.416928
w/o Regime-in-Reward,2024,0.25,0.000125,0.11318124547226038,0.1156,-0.43823
w/o Regime-in-Reward,2024,0.5,0.00025,0.030579010343390278,0.0312,-0.459532
w/o Regime-in-Reward,2024,0.75,0.000375,-0.05202322478547988,-0.0531,-0.487843
w/o Regime-in-Reward,2024,1.0,0.0005,-0.13462545991435,-0.1373,-0.518411
w/o Regime-in-Reward,2024,1.5,0.00075,-0.29982993017209014,-0.3054,-0.614208
w/o Regime-in-Reward,2024,2.0,0.001,-0.4650344004298304,-0.4728,-0.739249
w/o Regime-in-State,42,0.0,0.0,0.12366622412053849,0.1299,-0.317911
w/o Regime-in-State,42,0.25,0.000125,0.013100722907966766,0.0138,-0.339383
w/o Regime-in-State,42,0.5,0.00025,-0.09746477830460475,-0.1022,-0.360854
w/o Regime-in-State,42,0.75,0.000375,-0.2080302795171765,-0.218,-0.382326
w/o Regime-in-State,42,1.0,0.0005,-0.31859578072974837,-0.3335,-0.429593
w/o Regime-in-State,42,1.5,0.00075,-0.5397267831548915,-0.5636,-0.599856
w/o Regime-in-State,42,2.0,0.001,-0.7608577855800349,-0.7921,-0.790646
w/o Regime-in-State,123,0.0,0.0,0.09025917929423968,0.0962,-0.395348
w/o Regime-in-State,123,0.25,0.000125,-0.010507662924821054,-0.0112,-0.429329
w/o Regime-in-State,123,0.5,0.00025,-0.11127450514388171,-0.1186,-0.463309
w/o Regime-in-State,123,0.75,0.000375,-0.21204134736294233,-0.2259,-0.49729
w/o Regime-in-State,123,1.0,0.0005,-0.31280818958200296,-0.333,-0.531271
w/o Regime-in-State,123,1.5,0.00075,-0.5143418740201242,-0.5468,-0.599232
w/o Regime-in-State,123,2.0,0.001,-0.7158755584582458,-0.7595,-0.730669
w/o Regime-in-State,2024,0.0,0.0,0.10581688161318273,0.1103,-0.645509
w/o Regime-in-State,2024,0.25,0.000125,-0.006903837190879336,-0.0072,-0.678964
w/o Regime-in-State,2024,0.5,0.00025,-0.11962455599494108,-0.1246,-0.712419
w/o Regime-in-State,2024,0.75,0.000375,-0.23234527479900308,-0.2419,-0.745874
w/o Regime-in-State,2024,1.0,0.0005,-0.3450659936030651,-0.3592,-0.779329
w/o Regime-in-State,2024,1.5,0.00075,-0.5705074312111889,-0.593,-0.846239
w/o Regime-in-State,2024,2.0,0.001,-0.795948868819313,-0.8257,-1.009035
