feature_a,feature_b,MeanSpearman,MinAcrossFolds,MaxAcrossFolds
ZScore20,ZScore20,1.0,1.0,1.0
ZScore20,SpreadReturn,0.43177213210775756,0.42952470043888763,0.433740008094839
ZScore20,RollStd20,0.040767769355574926,0.03173633618000792,0.05512099503843959
ZScore20,DeltaBeta5d,0.017388723400525035,0.006611307999844157,0.034522393827300414
ZScore20,VolS_roll20,0.04355139555168756,0.03760058861044028,0.05760683229132486
ZScore20,VolSM_roll20,0.04498604102437905,0.03694223826903262,0.057967556729964426
ZScore20,RegimeEGScore,-0.05123885307164304,-0.05515591794203186,-0.04752926471408382
ZScore20,RegimeHLScore,-0.07013314431493387,-0.07508356803827082,-0.06009505712412642
ZScore20,RegimeCVScore,-0.009341626936390976,-0.028127712083681,0.024594958297375687
SpreadReturn,ZScore20,0.43177213210775756,0.42952470043888763,0.433740008094839
SpreadReturn,SpreadReturn,1.0,1.0,1.0
SpreadReturn,RollStd20,-0.0005065284579917981,-0.005062606956489813,0.0033836420428311623
SpreadReturn,DeltaBeta5d,0.006506834715708088,-0.0006915031823217462,0.01379168053689946
SpreadReturn,VolS_roll20,0.009039122900242735,0.0068686342732049025,0.014461376131604768
SpreadReturn,VolSM_roll20,0.02801495630535599,0.026853047961807285,0.029349554592157108
SpreadReturn,RegimeEGScore,-0.02895336822582576,-0.031318159337989315,-0.025509097765357834
SpreadReturn,RegimeHLScore,-0.04599944710254404,-0.04799737934300746,-0.043908255449070684
SpreadReturn,RegimeCVScore,-0.02066839778570819,-0.028458351887287573,-0.013423822308205229
RollStd20,ZScore20,0.040767769355574926,0.03173633618000792,0.05512099503843959
RollStd20,SpreadReturn,-0.0005065284579917981,-0.005062606956489813,0.0033836420428311623
RollStd20,RollStd20,1.0,1.0,1.0
RollStd20,DeltaBeta5d,0.015357555987407645,0.0064439570736297865,0.021254588369385378
RollStd20,VolS_roll20,-0.09103262511424029,-0.09547238874792424,-0.08329886415244296
RollStd20,VolSM_roll20,-0.11349075515461507,-0.1527377783551371,-0.07445474814002548
RollStd20,RegimeEGScore,-0.15078329691925146,-0.20746454889967733,-0.11026232189089467
RollStd20,RegimeHLScore,-0.06212066984517163,-0.12917364707961382,0.009372681372077848
RollStd20,RegimeCVScore,-0.18458268413111076,-0.2628285884860281,-0.10808283483891042
DeltaBeta5d,ZScore20,0.017388723400525035,0.006611307999844157,0.034522393827300414
DeltaBeta5d,SpreadReturn,0.006506834715708088,-0.0006915031823217462,0.01379168053689946
DeltaBeta5d,RollStd20,0.015357555987407645,0.0064439570736297865,0.021254588369385378
DeltaBeta5d,DeltaBeta5d,1.0,1.0,1.0
DeltaBeta5d,VolS_roll20,-0.03303956825326534,-0.05145462407803296,-0.006390248713336321
DeltaBeta5d,VolSM_roll20,-0.07521038319740656,-0.091989868247418,-0.055611583156715175
DeltaBeta5d,RegimeEGScore,-0.08200606360678989,-0.09631379429289519,-0.06623572301931886
DeltaBeta5d,RegimeHLScore,-0.04639277780607085,-0.06315142263705424,-0.024488901600775843
DeltaBeta5d,RegimeCVScore,0.018676947353370322,-0.020861690541542636,0.05743692342453649
VolS_roll20,ZScore20,0.04355139555168756,0.03760058861044028,0.05760683229132486
VolS_roll20,SpreadReturn,0.009039122900242735,0.0068686342732049025,0.014461376131604768
VolS_roll20,RollStd20,-0.09103262511424029,-0.09547238874792424,-0.08329886415244296
VolS_roll20,DeltaBeta5d,-0.03303956825326534,-0.05145462407803296,-0.006390248713336321
VolS_roll20,VolS_roll20,1.0,1.0,1.0
VolS_roll20,VolSM_roll20,0.6483225418177518,0.6431942135166145,0.6578762266209343
VolS_roll20,RegimeEGScore,-0.07821489964686987,-0.08922331268515155,-0.06743094401734412
VolS_roll20,RegimeHLScore,-0.13542028530093103,-0.1477599438360106,-0.12276637790074792
VolS_roll20,RegimeCVScore,-0.12970199273421867,-0.13447231611076566,-0.12426291974480587
VolSM_roll20,ZScore20,0.04498604102437905,0.03694223826903262,0.057967556729964426
VolSM_roll20,SpreadReturn,0.02801495630535599,0.026853047961807285,0.029349554592157108
VolSM_roll20,RollStd20,-0.11349075515461507,-0.1527377783551371,-0.07445474814002548
VolSM_roll20,DeltaBeta5d,-0.07521038319740656,-0.091989868247418,-0.055611583156715175
VolSM_roll20,VolS_roll20,0.6483225418177518,0.6431942135166145,0.6578762266209343
VolSM_roll20,VolSM_roll20,1.0,1.0,1.0
VolSM_roll20,RegimeEGScore,-0.13460855743698513,-0.14084424528723216,-0.1268621879814164
VolSM_roll20,RegimeHLScore,-0.19834303056364416,-0.20431163052351886,-0.19419924102035388
VolSM_roll20,RegimeCVScore,-0.19770215860588877,-0.2223138295049021,-0.17812461740883462
RegimeEGScore,ZScore20,-0.05123885307164304,-0.05515591794203186,-0.04752926471408382
RegimeEGScore,SpreadReturn,-0.02895336822582576,-0.031318159337989315,-0.025509097765357834
RegimeEGScore,RollStd20,-0.15078329691925146,-0.20746454889967733,-0.11026232189089467
RegimeEGScore,DeltaBeta5d,-0.08200606360678989,-0.09631379429289519,-0.06623572301931886
RegimeEGScore,VolS_roll20,-0.07821489964686987,-0.08922331268515155,-0.06743094401734412
RegimeEGScore,VolSM_roll20,-0.13460855743698513,-0.14084424528723216,-0.1268621879814164
RegimeEGScore,RegimeEGScore,1.0,1.0,1.0
RegimeEGScore,RegimeHLScore,0.8299461163161359,0.8157016158040877,0.8402468480849192
RegimeEGScore,RegimeCVScore,0.2754202708712666,0.21301231069330218,0.3428103588639258
RegimeHLScore,ZScore20,-0.07013314431493387,-0.07508356803827082,-0.06009505712412642
RegimeHLScore,SpreadReturn,-0.04599944710254404,-0.04799737934300746,-0.043908255449070684
RegimeHLScore,RollStd20,-0.06212066984517163,-0.12917364707961382,0.009372681372077848
RegimeHLScore,DeltaBeta5d,-0.04639277780607085,-0.06315142263705424,-0.024488901600775843
RegimeHLScore,VolS_roll20,-0.13542028530093103,-0.1477599438360106,-0.12276637790074792
RegimeHLScore,VolSM_roll20,-0.19834303056364416,-0.20431163052351886,-0.19419924102035388
RegimeHLScore,RegimeEGScore,0.8299461163161359,0.8157016158040877,0.8402468480849192
RegimeHLScore,RegimeHLScore,1.0,1.0,1.0
RegimeHLScore,RegimeCVScore,0.3704203549999101,0.2738306285451637,0.44337531672215313
RegimeCVScore,ZScore20,-0.009341626936390976,-0.028127712083681,0.024594958297375687
RegimeCVScore,SpreadReturn,-0.02066839778570819,-0.028458351887287573,-0.013423822308205229
RegimeCVScore,RollStd20,-0.18458268413111076,-0.2628285884860281,-0.10808283483891042
RegimeCVScore,DeltaBeta5d,0.018676947353370322,-0.020861690541542636,0.05743692342453649
RegimeCVScore,VolS_roll20,-0.12970199273421867,-0.13447231611076566,-0.12426291974480587
RegimeCVScore,VolSM_roll20,-0.19770215860588877,-0.2223138295049021,-0.17812461740883462
RegimeCVScore,RegimeEGScore,0.2754202708712666,0.21301231069330218,0.3428103588639258
RegimeCVScore,RegimeHLScore,0.3704203549999101,0.2738306285451637,0.44337531672215313
RegimeCVScore,RegimeCVScore,1.0,1.0,1.0
