strategy,N_days_Mean,N_days_Std,PositionChanges_Mean,PositionChanges_Std,AnnualisedPositionChanges_Mean,AnnualisedPositionChanges_Std,Entries_Mean,Entries_Std,Exits_Mean,Exits_Std,ForcedCloses_Mean,ForcedCloses_Std,DirectReversals_Mean,DirectReversals_Std,MeanNonzeroHoldingDays_Mean,MeanNonzeroHoldingDays_Std,MedianNonzeroHoldingDays_Mean,MedianNonzeroHoldingDays_Std,PctFlat_Mean,PctFlat_Std,GrossPnL_Mean,GrossPnL_Std,TotalCost_Mean,TotalCost_Std,NetPnL_Mean,NetPnL_Std,CostAsPctGrossMagnitude_Mean,CostAsPctGrossMagnitude_Std,CostAsPctAbsoluteMeanGross
Full IQN,1251.0,0.0,326.6,23.394443784796426,65.78992805755396,4.712549827153238,99.6,17.615334229017627,99.6,17.615334229017627,4.2,0.44721359549995804,127.4,33.24605239723959,4.596718777854085,0.4009292211882042,2.2,0.44721359549995787,17.106314948041565,3.7718467585624382,-0.12955430328570192,0.28845477085265525,0.35781848311736797,0.03563901506218066,-0.4873727864030794,0.28335929564133067,628.6371946887114,574.2259309861126,276.1918933161814
No Explicit Regime IQN,1251.0,0.0,358.6666666666667,35.360052790307506,72.24940047961631,7.122888331860505,88.66666666666667,25.890796305508516,88.66666666666667,25.890796305508516,4.666666666666667,0.5773502691896257,181.33333333333334,16.502525059315417,3.8663695980824833,0.35859451084484745,2.3333333333333335,0.5773502691896257,16.679989341859844,5.989516798157704,-0.11372630663767407,0.6586409856168707,0.4284693398160557,0.008050961834882367,-0.5421956464537424,0.6544130219005698,172.71801951777582,165.8367839066846,376.75481819798836
Parameter-Matched Double DQN,1251.0,0.0,355.2,32.08893890423926,71.55107913669065,6.463958915961863,112.0,20.97617696340303,112.0,20.97617696340303,4.4,0.8944271909999159,131.2,19.43450539633052,3.907311488344354,0.4665315667512679,2.0,0.0,24.332533972821743,6.869758370423225,0.2228897066848481,0.31414272330129756,0.37825114890935857,0.02867352402569465,-0.1553614422245202,0.3398158970549402,534.4550805576986,568.9190738080138,169.70328263932873
w/o Regime-in-Reward,1251.0,0.0,306.3333333333333,7.234178138070227,61.7074340527578,1.4572445170213413,75.66666666666667,13.868429375143146,75.66666666666667,13.868429375143146,4.333333333333333,0.5773502691896257,155.0,34.828149534535996,4.894987402929252,0.45127025393086784,2.3333333333333335,0.5773502691896257,10.205169197974953,3.410500764465588,-0.09837511322281407,0.4464837620555833,0.36340086282095435,0.03346928333622265,-0.4617759760437778,0.4772927050411004,177.5613579247848,117.29949843772934,369.4032473415018
w/o Regime-in-State,1251.0,0.0,397.0,11.269427669584644,79.97122302158273,2.2701005377580703,120.66666666666667,4.93288286231625,120.66666666666667,4.93288286231625,4.0,1.0,155.66666666666666,18.61003313627715,3.6929669677890318,0.2121478876651965,2.0,0.0,18.571809219291236,2.17057413849361,0.10658076167598696,0.01671661734829588,0.4320707496475924,0.025484837130980455,-0.32548998797161793,0.017198518836969285,410.09648838093835,46.5794849976229,405.3928146630421
