test_year,train_end,low_cut,high_cut
2021,2019,0.3125386627475543,0.3851236931964699
2022,2020,0.2957049908501796,0.3790828898061374
2023,2021,0.288434160963585,0.3726192605439673
2024,2022,0.267894481101526,0.3694274145067396
2025,2023,0.2610363785270902,0.3640365559543925
