strategy,N_seeds,GrossPnL_Mean,GrossPnL_SD,TransactionCost_Mean,TransactionCost_SD,NetPnL_Mean,NetPnL_SD,PctShort_Mean,PctFlat_Mean,PctLong_Mean,NPositionChanges_Mean,CostAsPctGrossMagnitude
Full IQN,5,-0.1295543032857021,0.2884547708526569,0.35781848311738396,0.03563901506218132,-0.48737278640308607,0.2833592956413329,35.95523581135092,17.106314948041565,46.93844924060751,322.4,276.1918933161934
No Explicit Regime IQN,3,-0.1137263066376754,0.6586409856168722,0.42846933981607344,0.008050961834884157,-0.5421956464537487,0.6544130219005708,41.99307220889955,16.679989341859844,41.32693844924061,354.0,376.75481819799955
Parameter-Matched Double DQN,5,0.22288970668484978,0.3141427233012989,0.37825114890937567,0.028673524025695823,-0.15536144222452603,0.33981589705494175,32.64588329336531,24.332533972821743,43.02158273381295,350.8,169.70328263933513
w/o Regime-in-Reward,3,-0.09837511322281417,0.44648376205558576,0.36340086282096906,0.03346928333622316,-0.4617759760437831,0.47729270504110116,41.62003730349054,10.205169197974953,48.174793498534505,302.0,369.4032473415164
w/o Regime-in-State,3,0.10658076167598796,0.016716617348296388,0.4320707496476121,0.02548483713098133,-0.3254899879716242,0.01719851883696973,41.54010125233147,18.571809219291236,39.8880895283773,393.0,405.3928146630568
