test_year,seed,variant,Label,CumReturn,AnnReturn,AnnVol,Sharpe,Sortino,MaxDrawdown,Calmar,PctPositive,NPositionChanges,N_days
2025,123,No Explicit Regime IQN,IQN_noRegS_noRegR_test2025_v6,-0.081644,-0.082297,0.137492,-0.5986,-0.8309,-0.112213,-0.7334,41.6,72,250
2025,2024,No Explicit Regime IQN,IQN_noRegS_noRegR_test2025_v6,-0.122153,-0.12313,0.14399,-0.8551,-1.1435,-0.159528,-0.7718,47.2,47,250
2025,42,No Explicit Regime IQN,IQN_noRegS_noRegR_test2025_v6,0.04388,0.044231,0.080966,0.5463,0.8499,-0.049598,0.8918,17.2,62,250
2021,123,w/o Regime-in-State,IQN_noRegS_regR_test2021_v6,-0.320922,-0.322201,0.238654,-1.3501,-1.7295,-0.444597,-0.7247,37.45,77,251
2021,2024,w/o Regime-in-State,IQN_noRegS_regR_test2021_v6,-0.392071,-0.393633,0.242657,-1.6222,-1.9798,-0.601077,-0.6549,41.43,102,251
2021,42,w/o Regime-in-State,IQN_noRegS_regR_test2021_v6,-0.048924,-0.049119,0.227973,-0.2155,-0.3344,-0.276395,-0.1777,38.65,91,251
2022,123,w/o Regime-in-State,IQN_noRegS_regR_test2022_v6,0.000677,0.000682,0.244652,0.0028,0.0046,-0.196602,0.0035,34.4,105,250
2022,2024,w/o Regime-in-State,IQN_noRegS_regR_test2022_v6,0.230644,0.232489,0.254715,0.9127,1.6865,-0.264153,0.8801,36.0,101,250
2022,42,w/o Regime-in-State,IQN_noRegS_regR_test2022_v6,-0.156706,-0.157959,0.274134,-0.5762,-0.7682,-0.311926,-0.5064,44.4,63,250
2023,123,w/o Regime-in-State,IQN_noRegS_regR_test2023_v6,0.043603,0.044128,0.152667,0.2891,0.4094,-0.182675,0.2416,41.77,68,249
2023,2024,w/o Regime-in-State,IQN_noRegS_regR_test2023_v6,-0.170202,-0.172253,0.157844,-1.0913,-1.4168,-0.342946,-0.5023,42.17,68,249
2023,42,w/o Regime-in-State,IQN_noRegS_regR_test2023_v6,-0.101315,-0.102536,0.157123,-0.6526,-0.8596,-0.250579,-0.4092,42.97,101,249
2024,123,w/o Regime-in-State,IQN_noRegS_regR_test2024_v6,0.076629,0.076934,0.142888,0.5384,0.8307,-0.11079,0.6944,44.62,57,251
2024,2024,w/o Regime-in-State,IQN_noRegS_regR_test2024_v6,-0.070603,-0.070884,0.132559,-0.5347,-0.7971,-0.176048,-0.4026,35.06,69,251
2024,42,w/o Regime-in-State,IQN_noRegS_regR_test2024_v6,0.032942,0.033073,0.136905,0.2416,0.3589,-0.11641,0.2841,38.25,73,251
2025,123,w/o Regime-in-State,IQN_noRegS_regR_test2025_v6,-0.112795,-0.113697,0.134015,-0.8484,-1.0993,-0.198007,-0.5742,41.2,73,250
2025,2024,w/o Regime-in-State,IQN_noRegS_regR_test2025_v6,0.057166,0.057623,0.141742,0.4065,0.6003,-0.123003,0.4685,46.0,58,250
2025,42,w/o Regime-in-State,IQN_noRegS_regR_test2025_v6,-0.044592,-0.044949,0.12025,-0.3738,-0.5334,-0.105924,-0.4244,30.4,73,250
2021,123,w/o Regime-in-Reward,IQN_regS_noRegR_test2021_v6,-0.257284,-0.258309,0.230095,-1.1226,-1.4068,-0.504588,-0.5119,33.86,56,251
2021,2024,w/o Regime-in-Reward,IQN_regS_noRegR_test2021_v6,-0.305924,-0.307143,0.249623,-1.2304,-1.6101,-0.433759,-0.7081,39.44,78,251
2021,42,w/o Regime-in-Reward,IQN_regS_noRegR_test2021_v6,-0.430836,-0.432553,0.250837,-1.7244,-2.2189,-0.502145,-0.8614,41.04,73,251
2022,123,w/o Regime-in-Reward,IQN_regS_noRegR_test2022_v6,-0.198339,-0.199925,0.272851,-0.7327,-0.9194,-0.504947,-0.3959,48.4,70,250
2022,2024,w/o Regime-in-Reward,IQN_regS_noRegR_test2022_v6,0.226933,0.228749,0.254466,0.8989,1.4801,-0.179429,1.2749,39.2,86,250
2022,42,w/o Regime-in-Reward,IQN_regS_noRegR_test2022_v6,-0.316495,-0.319027,0.273129,-1.168,-1.4924,-0.440046,-0.725,46.8,79,250
2023,123,w/o Regime-in-Reward,IQN_regS_noRegR_test2023_v6,-0.099528,-0.100727,0.166733,-0.6041,-0.8294,-0.198312,-0.5079,44.98,50,249
2023,2024,w/o Regime-in-Reward,IQN_regS_noRegR_test2023_v6,-0.119314,-0.120751,0.161381,-0.7482,-1.0168,-0.249283,-0.4844,43.78,40,249
2023,42,w/o Regime-in-Reward,IQN_regS_noRegR_test2023_v6,-0.260152,-0.263287,0.159129,-1.6545,-2.1109,-0.350667,-0.7508,41.37,55,249
2024,123,w/o Regime-in-Reward,IQN_regS_noRegR_test2024_v6,0.199023,0.199816,0.116907,1.7092,2.974,-0.085115,2.3476,38.65,79,251
2024,2024,w/o Regime-in-Reward,IQN_regS_noRegR_test2024_v6,-0.146408,-0.146991,0.142445,-1.0319,-1.3423,-0.238244,-0.617,41.83,47,251
2024,42,w/o Regime-in-Reward,IQN_regS_noRegR_test2024_v6,-0.092167,-0.092534,0.147629,-0.6268,-0.904,-0.185835,-0.4979,45.02,43,251
2025,123,w/o Regime-in-Reward,IQN_regS_noRegR_test2025_v6,0.114882,0.115801,0.141321,0.8194,1.173,-0.114244,1.0136,53.2,51,250
2025,2024,w/o Regime-in-Reward,IQN_regS_noRegR_test2025_v6,0.210087,0.211768,0.14345,1.4762,2.1865,-0.067808,3.1231,54.4,43,250
2025,42,w/o Regime-in-Reward,IQN_regS_noRegR_test2025_v6,0.090193,0.090915,0.138546,0.6562,0.9954,-0.07186,1.2652,47.2,56,250
2021,123,Full IQN,IQN_regS_regR_test2021_v6,-0.093433,-0.093805,0.241539,-0.3884,-0.5138,-0.398513,-0.2354,41.43,61,251
2021,2024,Full IQN,IQN_regS_regR_test2021_v6,-0.147409,-0.147997,0.2241,-0.6604,-0.8671,-0.273152,-0.5418,27.49,70,251
2021,42,Full IQN,IQN_regS_regR_test2021_v6,-0.19155,-0.192313,0.237353,-0.8102,-1.0637,-0.485462,-0.3961,41.04,81,251
2021,7,Full IQN,IQN_regS_regR_test2021_v6,-0.021031,-0.021115,0.25436,-0.083,-0.1267,-0.393443,-0.0537,47.41,49,251
2021,999,Full IQN,IQN_regS_regR_test2021_v6,-0.126403,-0.126907,0.246029,-0.5158,-0.7562,-0.272127,-0.4664,44.62,53,251
2022,123,Full IQN,IQN_regS_regR_test2022_v6,-0.031133,-0.031383,0.26508,-0.1184,-0.1582,-0.210401,-0.1492,44.4,76,250
2022,2024,Full IQN,IQN_regS_regR_test2022_v6,-0.120007,-0.120967,0.274232,-0.4411,-0.5617,-0.224955,-0.5377,52.8,42,250
2022,42,Full IQN,IQN_regS_regR_test2022_v6,-0.066701,-0.067235,0.264312,-0.2544,-0.3973,-0.362459,-0.1855,41.2,59,250
2022,7,Full IQN,IQN_regS_regR_test2022_v6,-0.002799,-0.002821,0.219996,-0.0128,-0.0193,-0.161198,-0.0175,40.4,93,250
2022,999,Full IQN,IQN_regS_regR_test2022_v6,-0.231906,-0.233762,0.262708,-0.8898,-1.3335,-0.40122,-0.5826,39.2,61,250
2023,123,Full IQN,IQN_regS_regR_test2023_v6,-0.310091,-0.313827,0.161918,-1.9382,-2.4931,-0.404036,-0.7767,43.37,43,249
2023,2024,Full IQN,IQN_regS_regR_test2023_v6,0.030049,0.030411,0.14772,0.2059,0.2866,-0.147776,0.2058,39.36,72,249
2023,42,Full IQN,IQN_regS_regR_test2023_v6,-0.107377,-0.108671,0.136661,-0.7952,-1.1383,-0.164457,-0.6608,32.53,75,249
2023,7,Full IQN,IQN_regS_regR_test2023_v6,-0.180104,-0.182274,0.152169,-1.1978,-1.5781,-0.276702,-0.6587,38.96,57,249
2023,999,Full IQN,IQN_regS_regR_test2023_v6,-0.366764,-0.371182,0.154639,-2.4003,-2.8925,-0.404101,-0.9185,34.94,91,249
2024,123,Full IQN,IQN_regS_regR_test2024_v6,0.160978,0.161619,0.139528,1.1583,1.9158,-0.102672,1.5741,43.43,78,251
2024,2024,Full IQN,IQN_regS_regR_test2024_v6,-0.152806,-0.153415,0.130063,-1.1795,-1.5653,-0.199696,-0.7682,36.65,67,251
2024,42,Full IQN,IQN_regS_regR_test2024_v6,-0.166308,-0.166971,0.098424,-1.6964,-2.0919,-0.204931,-0.8148,17.93,73,251
2024,7,Full IQN,IQN_regS_regR_test2024_v6,-0.178713,-0.179425,0.107152,-1.6745,-2.1739,-0.210669,-0.8517,29.48,71,251
2024,999,Full IQN,IQN_regS_regR_test2024_v6,-0.235529,-0.236468,0.12692,-1.8631,-2.348,-0.302019,-0.783,30.68,75,251
2025,123,Full IQN,IQN_regS_regR_test2025_v6,-0.006617,-0.00667,0.133926,-0.0498,-0.0712,-0.143416,-0.0465,44.8,76,250
2025,2024,Full IQN,IQN_regS_regR_test2025_v6,0.014689,0.014806,0.140426,0.1054,0.146,-0.098511,0.1503,51.2,40,250
2025,42,Full IQN,IQN_regS_regR_test2025_v6,0.118242,0.119188,0.14454,0.8246,1.1922,-0.078924,1.5102,50.8,34,250
2025,7,Full IQN,IQN_regS_regR_test2025_v6,0.001657,0.00167,0.145106,0.0115,0.0163,-0.087653,0.0191,48.4,42,250
2025,999,Full IQN,IQN_regS_regR_test2025_v6,-0.025795,-0.026001,0.113309,-0.2295,-0.3219,-0.116099,-0.224,38.0,73,250
