variant,group,features,n_tasks,mean_sharpe_loss,sd_sharpe_loss,median_sharpe_loss,q025_sharpe_loss,q975_sharpe_loss,positive_sharpe_loss_pct,mean_net_pnl_loss,mean_action_disagreement_pct,mean_delta_position_changes,mean_delta_flat_pct
Full IQN,ZScore20,ZScore20,15,0.002847333333333346,0.6403583490957752,-0.019530000000000013,-0.8859597499999999,1.1895520000000002,46.666666666666664,0.005565569999999998,24.945389654234468,3.466666666666667,-1.0502064779703144
Full IQN,SpreadReturn,SpreadReturn,15,0.11014133333333335,0.5416919817323266,-0.013725000000000025,-0.6063655,1.1725422500000002,46.666666666666664,0.01896228666666666,31.731446391142256,2.3699999999999997,-1.110078859928426
Full IQN,RollStd20,RollStd20,15,-0.33984200000000003,0.636342773030834,-0.26559,-1.5873837499999999,0.5977385000000002,33.33333333333333,-0.06148193999999999,27.17673219304842,2.64,-0.4974562579667944
Full IQN,DeltaBeta5d,DeltaBeta5d,15,0.136411,0.637816682833488,0.11201000000000003,-0.7820434999999999,1.3666895000000001,53.333333333333336,0.017292119999999998,27.289583620004585,2.3466666666666667,-0.6050654037131263
Full IQN,VolS_roll20,VolS_roll20,15,0.05550466666666667,0.7036783409506756,0.05270499999999993,-1.1381054999999998,1.05374175,53.333333333333336,0.021446396666666666,30.192802252836046,0.23333333333333345,-0.9370701611225782
Full IQN,VolSM_roll20,VolSM_roll20,15,0.27298066666666665,0.701659944694586,0.28314,-0.71945175,1.4031792500000002,66.66666666666666,0.04289554666666665,31.079809618287225,0.9666666666666667,-0.49081619439244395
Full IQN,RegimeEGScore,RegimeEGScore,15,-0.05911566666666664,0.40313996971482086,-0.048560000000000034,-0.6899124999999999,0.6806652500000001,33.33333333333333,-0.011268560000000002,12.811713787420599,-1.2733333333333334,-0.5033380587422732
Full IQN,RegimeHLScore,RegimeHLScore,15,-0.05234333333333332,0.456052648322172,0.015894999999999992,-0.833477,0.7063125000000003,53.333333333333336,-0.013391946666666672,15.755231774375057,1.2366666666666668,-0.7515785319231777
Full IQN,RegimeCVScore,RegimeCVScore,15,-0.07117733333333334,0.48022358280829786,-0.12880500000000003,-0.719313,0.7916192500000001,40.0,-0.011167716666666667,21.754233529069797,0.9266666666666669,-0.10291377462039408
Full IQN,EG + Half-life,RegimeEGScore + RegimeHLScore,15,-0.18350466666666662,0.3773149580989841,-0.21159,-0.7111085,0.4957307500000002,33.33333333333333,-0.03514083666666667,16.832664074625193,1.7633333333333334,-0.815351114951173
Full IQN,All Regime,RegimeEGScore + RegimeHLScore + RegimeCVScore,15,-0.07387433333333332,0.44209194877014096,-0.16565499999999997,-0.8189459999999998,0.6105290000000001,40.0,-0.004016606666666669,28.75656625972682,1.8233333333333333,-1.1644147479693012
Full IQN,All Base,ZScore20 + SpreadReturn + RollStd20 + DeltaBeta5d + VolS_roll20 + VolSM_roll20,15,0.256256,0.8246507565439879,0.35677,-1.1360264999999998,1.4676195,66.66666666666666,0.04076300666666666,51.105011685520296,2.316666666666667,-0.7095620943268429
w/o Regime-in-Reward,ZScore20,ZScore20,15,0.24600066666666665,0.747309530635128,0.1347,-0.78084275,1.8874327500000003,66.66666666666666,0.02572323999999999,24.225226856963044,2.566666666666667,0.03208938809687607
w/o Regime-in-Reward,SpreadReturn,SpreadReturn,15,0.24919000000000002,0.5262271111106469,0.3485950000000001,-0.5768402499999999,1.1744340000000002,66.66666666666666,0.04624111666666666,28.539301535491234,0.48333333333333345,-0.15476727627642056
w/o Regime-in-Reward,RollStd20,RollStd20,15,-0.1535033333333333,0.5623346566663798,-0.2472049999999999,-0.87647425,0.8199612500000002,40.0,-0.036206470000000004,26.887161735921108,3.04,1.1935883347466894
